Date	Time	Severity	PID	TID	Function	Message
26-04-2025	03:48:04.087	 INFO	124332	117952	DllMain	"DLL_PROCESS_ATTACH Wed Feb 26 18:18:03 2025 11.4.2500.11"
26-04-2025	03:48:04.088	 INFO	124332	 63728	LateInitialization	"Intialization..."
26-04-2025	03:48:04.089	 INFO	124332	 63728	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
26-04-2025	03:48:04.089	 INFO	124332	 63728	LateInitialization	"IsExplorer = 0"
26-04-2025	03:48:04.090	 INFO	124332	 63728	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
26-04-2025	03:48:04.091	 INFO	124332	 63728	LateInitialization	"Intialization finished"
27-04-2025	20:59:48.817	 INFO	102264	100924	DllMain	"DLL_PROCESS_ATTACH Wed Feb 26 18:18:03 2025 11.4.2500.11"
27-04-2025	20:59:48.819	 INFO	102264	102868	LateInitialization	"Intialization..."
27-04-2025	20:59:48.821	 INFO	102264	102868	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
27-04-2025	20:59:48.822	 INFO	102264	102868	LateInitialization	"IsExplorer = 0"
27-04-2025	20:59:48.823	 INFO	102264	102868	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
27-04-2025	20:59:48.825	 INFO	102264	102868	LateInitialization	"Intialization finished"
28-04-2025	12:07:56.769	 INFO	 34708	  4164	DllMain	"DLL_PROCESS_ATTACH Wed Feb 26 18:18:03 2025 11.4.2500.11"
28-04-2025	12:07:56.771	 INFO	 34708	 35184	LateInitialization	"Intialization..."
28-04-2025	12:07:56.772	 INFO	 34708	 35184	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
28-04-2025	12:07:56.773	 INFO	 34708	 35184	LateInitialization	"IsExplorer = 0"
28-04-2025	12:07:56.774	 INFO	 34708	 35184	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
28-04-2025	12:07:56.775	 INFO	 34708	 35184	LateInitialization	"Intialization finished"
